productName,brand,price,thcContent,cbdContent,category,rating,reviewCount,dispensaryCount,market,searchQuery,url,image
Orange Crush | Melted Diamond Live Resin Vaporizer | 1.0g (Reload),,55.00,,,PODS,4.7,92,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-orange-crush-melted-diamond-live-resin-vaporizer-1-0g-reload,
Grapefruit 1:1:1 CBG:CBC + Sativa Enhanced Gummies,WYLD,26.00,100mg,,GUMMIES,4.9,62,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-grapefruit-1-1-1-cbg-cbc-sativa-enhanced-gummies-2e16fee1-95dd-44fd-b2dd-30fa195ab67b,
Watermelon Burst | Melted Diamond Live Resin Vape | 1.0g (Ready-to-Use),,60.00,,,,4.7,41,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-watermelon-burst-100-live-resin-diamond-vaporizer-1-0g-rtu-az,
Sour Apple Sativa Enhanced Gummies,WYLD,21.00,100mg,,GUMMIES,4.8,407,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-sour-apple-gummies,
Strawberry 20:1 CBD + Hybrid Enhanced Gummies | 200:10mg,WYLD,23.00,10mg,200mg,GUMMIES,4.9,18,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-strawberry-20-1-cbd-hybrid-enhanced-gummies-100mg,
Huckleberry Hybrid Enhanced Gummies | 100mg,WYLD,23.00,100mg,,GUMMIES,4.9,49,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-huckleberry-hybrid-enhanced-gummies-1000mg,
Cherry Gelato | Melted Diamond Live Resin Vaporizer | 1.0g (Reload),,45.50,,,PODS,4.7,121,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-rove-live-resin-diamonds-vape-reload-cherry-gelato-h-1-0g,
Sour Cherry Indica Enhanced Gummies,WYLD,18.00,100mg,,GUMMIES,4.8,422,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-sour-cherry-indica-enhanced-gummies,
Grapefruit 2:1:1 THC:CBG:CBC + Sativa Enhanced Gummies | 200mg,,26.00,,,GUMMIES,4.7,13,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-grapefruit-2-2-1-thc-cbg-cbc-200mg-hybrid-gummies-by-wyld,
Violet Sky: Flower (3.5g) - Khalifa Kush,,40.00,,,,,,,Los Angeles,THC gummies,https://weedmaps.com/brands/khalifa-kush/products/brandproduct-11145-acf220b2-5fad-436e-92fc-5910295a80b3,
Khalifa Kush - Pre-Roll - Point Breeze - 1g,,12.00,,,,4.9,11,,Los Angeles,THC gummies,https://weedmaps.com/brands/khalifa-kush/products/brandproduct-11145-15f45ed2-8d56-4bfa-a2f5-5575515c1ecb,
Smokiez Edibles Cbn Thc 1 1 Sour Jamberry100mg Cbn 100mg Thc Fruit Chews,Smokiez Edibles,25.00,100mg,,GUMMIES,5.0,3,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-cbn-thc-1-1-sour-jamberry100mg-cbn-100mg-thc-fruit-chews,
Pound for Pound 1g Preroll,,10.80,,,,5.0,4,,Los Angeles,THC gummies,https://weedmaps.com/brands/tyson20/products/tyson20-pound-for-pound-1g-preroll,
Smokiez Green Apple Fruit Chews - CA,Smokiez Edibles,25.00,10mg,,GUMMIES,4.6,20,,Los Angeles,THC gummies,https://weedmaps.com/brands/smokiez-edibles/products/smokiez-edibles-smokiez-green-apple-fruit-chews-california,
